cep;cidade;numero;origem;estado;cnpj;nome;recompra;fantasia;razao_social;telefone;email;tag1;inscricao_estadual;codigo;logradouro;bairro;ibge;celular
13911-058;JAGUARIUNA;99;Base Bignotto;SP;96.456.660/0001-50;BOM PASTOR DE JAGUARIUNA ORG DE LUTO LTD;20;B.PASTOR JAG;BOM PASTOR DE JAGUARIUNA ORG DE LUTO LTDA ME;019 3867-3221;nilsonsantosnds@hotmail.com;IUB;395.087.290.110;265;RUA CEARA;DOM BOSCO;3524709;019 99243-6091
17020-293;BAURU;;Base Bignotto;SP;50.778.851/0001-38;EMPRESA MUNIC DE DESEMVOLV URBANO RURAL;20;EMDURB;EMPRESA MUNIC DE DESEMVOLV URBANO RURAL DE BAURU;014 3235-1450;jennyffersantos@emdurb.com.br;IUB;ISENTO;267;PRACA JOAO PAULO II, SN;JD.SANTANA;3506003;014 3233-9119
28035-042;CAMPOS DOS GOYTACAZES;573;Base Bignotto;RJ;39.226.311/0001-09;J R B COM DE ARTIGOS FUNERARIOS LTDA EPP;20;FUNERARIA BOA VIAGEM;J R B COM DE ARTIGOS FUNERARIOS LTDA EPP;(22)99939-8442;financeiro@planoboaviagem.com.br;IUB;84.715.52-2;269;R TENENTE CORONEL CARDOSO;CENTRO;3301009;
12701-430;CRUZEIRO;56;Base Bignotto;SP;74.430.851/0001-00;EMPRESA SANTA CLARA - EIRELLI EPP;20;CRISTIANE;EMPRESA SANTA CLARA - EIRELLI EPP;012 3145 3828;departamentofiscalsc@hotmail.com.br;IUB;282.044.009.110;272;RUA DOUTOR CELESTINO;CENTRO;3513405;012 3143-1833
13163-030;ARTUR NOGUEIRA;1119;Base Bignotto;SP;71.958.953/0001-05;EMPRESA FUNERARIA GULLO ARTHUR NOGUEIRA;20;GULLO A.T.;EMPRESA FUNERARIA GULLO ARTHUR NOGUEIRA LTDA ME;019 3877-5247;bp_geraldoluis@hotmail.com;IUB;ISENTO;282;RUA RUI BARBOSA;CENTRO;3503802;019 99176-7233
73801-680;FORMOSA;853;Base Bignotto;GO;74.138.470/0001-52;PORTAL DO SOL ADMINISTRACAO E SERVICOS F;20;PORTAL DO SOL;PORTAL DO SOL ADMINISTRACAO E SERVICOS FUNERARIOS LTDA;061 3631-2033;felisminof@hotmail.com;IUB;ISENTO;283;PRACA DA CONCORDIA;SETOR CENTRAL;5208004;061 9981-1154
38200-000;FRUTAL;119;Base Bignotto;MG;42.968.545/0001-36;FUNERARIA FRUTALENSE LTDA;20;FUNERARIA FRUTALENSE;FUNERARIA FRUTALENSE LTDA;34 3421 0011;frutalense@frutalense.com.br;IUB;0048140700053;288;PRACA NOSSA SENHORA DA ABADIA;BAIRRO;3127107;
18900-000;SANTA CRUZ DO RIO PARDO;509;Base Bignotto;SP;00.523.305/0001-88;ROBERTO BONANATA & CIA LTDA - ME;20;FUNERARIA RAINHA DA;ROBERTO BONANATA & CIA LTDA - ME;014 3372-1674;robertofuneraria@hotmail.com;IUB;ISENTO;302;AVENIDA DOUTOR CIRO M. CAMARINHA;CENTRO;3546405;014 99858-4594
35930-478;JOAO MONLEVADE;428;Base Bignotto;MG;00.702.987/0001-96;FUNERARIA BOMFIM JOAO MONLEVADE LTDA;20;FUNERARIA BOMFIM;FUNERARIA BOMFIM JOAO MONLEVADE LTDA;031 3851-3113;real.pax@bol.com.br;IUB;003288113.00-11;305;AVENIDA GENTIL BICALHO;CARNEIRINHOS;3136207;
27913-060;MACAE;311;Base Bignotto;RJ;39.226.311/0002-90;J R B COMERCIO DE ARTIGOS FUNERARIOS LTD;20;FUNERARIA BOA VIAGEM;J R B COMERCIO DE ARTIGOS FUNERARIOS LTDA;022 2737-6027;financeiro@planoboaviagem.com.br;IUB;ISENTO;306;RUA DR JOAO CUPERTINO;CENTRO;3302403;022 2762-9508
11680-000;UBATUBA;876;Base Bignotto;SP;61.610.473/0001-03;FUNERARIA LITORANEA LTDA ME;20;;FUNERARIA LITORANEA LTDA ME;012 3832-6387;funerarialitoraneaplanstel@gmail.com;IUB;701.036.983.110;308;AVENIDA PROFESSOR THOMAZ GALHARDO;SALA 1 CENTRO;3555406;012 99799-4074
37270-000;CAMPO BELO;69;Base Bignotto;MG;01.249.216/0001-58;MARLENE LEONEL DO NASCIMENTO SOUZA-ME;20;LEONEL;MARLENE LEONEL DO NASCIMENTO SOUZA-ME;035 3832-7955;funerariaalinca24h@hotmail.com;IUB;112.974.408.00-22;323;RUA JEFERSON TAGLIAFERRI;FEIRA;3111200;
13330-210;INDAIATUBA;855;Base Bignotto;SP;49.452.113/0001-17;SESOMA SERVICO DE APOIO FAMILIAR MATTION;20;FUNERARIA MATTIONI;SESOMA SERVICO DE APOIO FAMILIAR MATTIONI SS LTDA;019 3875-9049;funerariamattioni@terra.com.br;IUB;ISENTO;329;RUA PEDRO GONCALVES;CENTRO;3520509;
13830-000;SANTO ANTONIO DE POSSE;221;Base Bignotto;SP;60.295.763/0001-39;BOM PASTOR DE S A POSSE ORG DE LUTO ME;20;S.A.POSSE;BOM PASTOR DE S A POSSE ORG DE LUTO ME;019 3896-1177;nilsonsantosnds@hotmail.com;IUB;630.001.631.113;331;AVENIDA DA SAUDADE;CENTRO;3548005;019 99243-6091
13670-000;SANTA RITA DO PASSA QUATRO;341;Base Bignotto;SP;01.507.769/0001-63;MAXIMO E CIA LTDA ME;20;MAXIMO;MAXIMO E CIA LTDA ME;019 3582-3819;valerymaximo@hotmail.com;IUB;621.019.249.110;335;RUA INACIO RIBEIRO;CENTRO;3547502;019 99957-7945
13170-060;SUMARE;160;Base Bignotto;SP;00.934.048/0001-77;BOM PASTOR DE SUMARE ORG LUTO LTDA ME;20;;BOM PASTOR DE SUMARE ORG LUTO LTDA ME;19 3873-3138;mirnajessica05@outlook.com;IUB;671.079.538.111;338;RUA FRANCISCO DUARTE;JARDIM SAO CARLOS;3552403;19 99268-4070
79800-000;DOURADOS;184;Base Bignotto;MS;73.737.678/0001-25;UEMURA E SAMPAIO LTDA;20;UEMURA;UEMURA E SAMPAIO LTDA;067 3421-6071;funerariadourados@hotmail.com;IUB;28.287.903-0;340;RUA HILDA BERGO DUARTE;BAIRRO;5003702;
11920-000;IGUAPE;103;Base Bignotto;SP;51.066.074/0001-61;GLORIA MARQUES DE AGUIAR NOBREGA ME;20;FUNERARIA BOM JESUS;GLORIA MARQUES DE AGUIAR NOBREGA ME;013 3841-1271;bomjesusigp2020@gmail.com;IUB;351.003.589.117;343;RUA TENENTE CORONEL ZACARIAS;CENTRO;3520301;
13220-130;VARZEA PAULISTA;30;Base Bignotto;SP;67.808.592/0001-43;ROGERIO E ROGERIO LTDA EPP;20;;ROGERIO E ROGERIO LTDA EPP;11 4606-2362;admolvp@gmail.com;IUB;712.032.051.115;350;RUA MARIA AUXILIADORA;VILA SANTA TEREZINHA;3556503;11 4595-4417
27510-070;RESENDE;94;Base Bignotto;RJ;01.750.014/0001-95;FUNERARIA ALIFAR LTDA;20;FUNERARIA SAO MATHEU;FUNERARIA ALIFAR LTDA;(24) 3355-8639;funerariaalifar@gmail.com.br;IUB;85.942.425;353;RUA JOAO FERREIRA PINTO;CENTRO;3304201;
25730-735;PETROPOLIS;14429;Base Bignotto;RJ;31.538.309/0001-63;SERVICO FUNERARIO DE ITAIPAVA LTDA;20;ITAIPAVA;SERVICO FUNERARIO DE ITAIPAVA LTDA;024 3243-0483;ruyligeirojr@yahoo.com.br;IUB;ISENTO;354;ESTRADA UNIAO E INDUSTRIA;BAIRRO ITAIPAVA;3303906;
38950-000;IBIA;71;Base Bignotto;MG;41.717.026/0001-32;ORGANIZACAO DE SERVICOS SOCIAL DE LUTO S;20;FUNERARIA SAO JOSE;ORGANIZACAO DE SERVICOS SOCIAL DE LUTO SAO JOSE LTDA;034 3631-1554;saojose.funeraria@yahoo.com.br;IUB;295.133.137.00-41;360;RUA ELPIDIO JOSE DOS SANTOS;CENTRO;3129509;
13990-085;ESPIRITO SANTO DO PINHAL;201;Base Bignotto;SP;01.624.612/0001-18;FUNERARIA PARQUE DAS ACACIAS LTDA ME;20;FUNERARIA SAO DIMAS;FUNERARIA PARQUE DAS ACACIAS LTDA ME;019 3651-5889;taniavital@uol.com.br;IUB;ISENTO;378;RUA TEIXEIRA RIOS;CENTRO;3515186;
30150-280;BELO HORIZONTE;367;Base Bignotto;MG;17.209.891/0008-60;SANTA CASA DE MISERICORDIA DE BELO HORIZ;20;SANTA CASA;SANTA CASA DE MISERICORDIA DE BELO HORIZONTE;031 3237-7281;larissamiranda@santacasabh.org.br;IUB;062.856647.01-67;380;AVENIDA BERNARDO MONTEIRO;SANTA EFIGENIA;3106200;
12410-050;PINDAMONHANGABA;703;Base Bignotto;SP;01.946.584/0001-55;NILTON CESAR VIEIRA PINDAMONHANGABA;20;SESOLUPI;NILTON CESAR VIEIRA PINDAMONHANGABA;012 3642-3954;funerariasesolupi@terra.com.br;IUB;ISENTO;382;RUA MAJOR JOSE DOS SANTOS MOREIRA;SAO BENEDITO;3538006;12 99745-0969
13253-000;ITATIBA;34;Base Bignotto;SP;02.142.893/0001-35;FUNERARIA OLVP LTDA-ME;20;ORGANIZACAO DE LUTO;FUNERARIA OLVP LTDA-ME;011 4534.2100;olvpvarzea@gmail.com;IUB;382.054.821.114;383;AVENIDA DA SAUDADE;CENTRO;3523404;011 9907-7028
35950-000;ALVINOPOLIS;782;Base Bignotto;MG;02.142.043/0001-37;FUNERARIA ALVINOPOLIS LTDA;20;FUNERARIA ALVINOPOLI;FUNERARIA ALVINOPOLIS LTDA;031 3855-1198;keniaseveriano@hotmail.com;IUB;023.718.324.00-09;388;AVENIDA AV ANTONIO CARLOS;BAIRRO;3102308;
35588-000;ARCOS;559;Base Bignotto;MG;86.454.758/0001-15;LEAL E MODESTO LTDA ME;20;LEAL.MODESTO;LEAL E MODESTO LTDA ME;037 3351-3433;funebompastor@hotmail.com;IUB;042.885.617.00-11;391;AVENIDA GOVERNADOR VALADARES;CENTRO;3104205;37 9838-2092
74070-030;GOIANIA;701;Base Bignotto;GO;02.678.670/0001-97;ORGANIZACOES MALTA SERVICOS POSTUMOS LTD;20;ORGANIZACOES MALTA;ORGANIZACOES MALTA SERVICOS POSTUMOS LTDA;062 3233-2873;luciana@paxsilva.com.br;IUB;ISENTO;396;AV PIRES FERNANDES;SETOR AEROPORTO;5208707;
24435-001;SAO GONCALO;2;Base Bignotto;RJ;02.390.494/0001-93;FLORICULTURA MONSENHOR CRISANTEMO LTDA;20;FLORICULTURA BEIJA F;FLORICULTURA MONSENHOR CRISANTEMO LTDA;021 2712-2638;rodrigolessa05@hotmail.com;IUB;75.616.392;399;RUA DR FRANCISCO PORTELA LOJA;PORTO NOVO;3304904;021 96437-1508
06401-090;BARUERI;8;Base Bignotto;SP;46.523.015/0001-35;PREFEITURA MUNICIPAL DE BARUERI;20;PREF.BARUERI;PREFEITURA MUNICIPAL DE BARUERI;011 4199-8000;su.compras@barueri.sp.gov.br;IUB;ISENTO;400;RUA DO PACO;CENTRO;3505708;011 4198 3009
75640-282;PIRACANJUBA;;Base Bignotto;GO;01.339.574/0001-51;MARCIO RICARDO FLOR;20;FUNERARIA PAZ ETERNA;MARCIO RICARDO FLOR;(64) 3405-1525;marcioricardo43@gmail.com;IUB;10.283.995-6;407;RUA ANTONIO ACCIOLY, SN;SETOR LIMA;5217104;(64) 3405-2348
13990-000;ESPIRITO SANTO DO PINHAL;173;Base Bignotto;SP;02.492.539/0001-30;BOM PASTOR DE PINHAL ORGANIZACAO DE LUTO;20;;BOM PASTOR DE PINHAL ORGANIZACAO DE LUTO LTDA ME;019 3661-5487;reginaldobompastor@hotmail.com;IUB;ISENTO;414;RUA TEIXEIRA RIOS;CENTRO;3515186;019 998540080
15600-000;FERNANDOPOLIS;2034;Base Bignotto;SP;49.983.166/0003-26;ORGANIZACAO SOCIAL DE LUTO VOTUPORANGA L;20;ROMA;ORGANIZACAO SOCIAL DE LUTO VOTUPORANGA LTDA ME;017 3442.6364;roma.ac@terra.com.br;IUB;ISENTO;418;AVENIDA AFONSO CAFARO;CENTRO;3515509;
73850-000;CRISTALINA;95;Base Bignotto;GO;01.713.030/0001-08;CLINICA DE TANATOPRAXIA E FUNERARIA LIMA;20;CLINICA DE TANATOPRA;CLINICA DE TANATOPRAXIA E FUNERARIA LIMA FRANCO LTDA;061 3612-3690;funerariasc4190@hotmail.com;IUB;ISENTO;420;RUA;SETOR ZONA SUL NOVA;5206206;061 99832-8935
13730-240;MOCOCA;1460;Base Bignotto;SP;01.170.037/0001-20;FUNERARIA MOCOCA LTDA;20;FUNERARIA MOCOCA;FUNERARIA MOCOCA LTDA;019 3665-3335;funerariamococa@yahoo.com.br;IUB;ISENTO;422;AVENIDA DA SAUDADE;VILA MARIANA;3530508;19 99337-1339
14801-360;ARARAQUARA;1269;Base Bignotto;SP;01.601.447/0001-89;FONTERI ORG E SERVICOS LTDA ME;20;;FONTERI ORG E SERVICOS LTDA ME;16 3303-4661;suprimento@fonteri.com.br;IUB;181.122.370.115;424;RUA EXPEDICIONARIOS DO BRASIL;CENTRO;3503208;
75805-000;CACU;621;Base Bignotto;GO;02.653.525/0003-13;PAX FUNERARIA SANTA FE LTDA;20;PAX E FUNERARIA SANT;PAX FUNERARIA SANTA FE LTDA;064 3656-1052;pax@pax.com.br;IUB;ISENTO;428;RUA CORONEL MANOEL INACIO;BAIRRO;5204300;
75805-085;JATAI;29;Base Bignotto;GO;02.653.525/0001-51;PAX FUNERARIA SANTA FE LTDA;20;PAX FUNERARIA SANTA;PAX FUNERARIA SANTA FE LTDA;064 3631-3879;pax.santafe@outlook.com;IUB;ISENTO;429;RUA PADRE FEIJO;QD B LT D SETOR ANTE;5211909;
17900-000;DRACENA;430;Base Bignotto;SP;02.119.884/0001-23;IRMAOS OLIVEIRA DRACENA LTDA;20;VIDA PREV;IRMAOS OLIVEIRA DRACENA LTDA;018 38218450;vidaprevdracena@abcrede.com.br;IUB;ISENTO;438;RUA EUCLIDES CUNHA;CENTRO;3514403;
35330-000;INHAPIM;274;Base Bignotto;MG;02.626.702/0001-00;SONIA DALVA DE FREITAS ROSA;20;FUNERARIA J.K.;SONIA DALVA DE FREITAS ROSA;033 3315-1693;djjusceliomarcos@gmail.com;IUB;309.761.190.00-66;440;RUA OSVALDO SILVA ARAUJO;CENTRO;3130903;
11750-000;PERUIBE;104;Base Bignotto;SP;61.349.098/0001-81;FUNESP SERVICO FUNERARIO E PLANO DE ASSI;20;FUNERARIA SAO PAULO;FUNESP SERVICO FUNERARIO E PLANO DE ASSISTENCIA LTDA;013 3455-3985;funesp.adm.peruibe@hotmail.com;IUB;524.015.243.118;445;RUA CAETANO MORATORE;CENTRO;3537602;013 3455.7408
13184-310;HORTOLANDIA;484;Base Bignotto;SP;02.814.616/0001-21;BOM PASTOR DE HORTOLANDIA ORGANIZACAO DE;20;;BOM PASTOR DE HORTOLANDIA ORGANIZACAO DE LUTO LTDA.;019 3865-3221;contabile.org@terra.com.br;IUB;748.025.037.110;452;RUA ALDA LOURENCO FRANCISCO;LOTEAMENTO REMANSO C;3519071;019 99237-7794
35420-000;MARIANA;133;Base Bignotto;MG;25.290.263/0001-03;ROMEU DE OLIVEIRA MIRANDA - CPF 38512475;20;FUNERARIA SAO LUIZ;ROMEU DE OLIVEIRA MIRANDA - CPF 38512475668;031 3557-1924;mirandam@uai.com.br;IUB;ISENTO;454;RUA R RAIMUNDO GAMARANO;SAO PEDRO;3140001;031 98302-7223
35920-000;NOVA ERA;99;Base Bignotto;MG;25.401.894/0002-33;FUNERARIA ALVES LTDA;20;;FUNERARIA ALVES LTDA;031 3861-1857;contabilidadeduarte@globo.com;IUB;ISENTO;458;RUA OSCAR DE ARAUJO;CENTENARIO;3144706;031 99636-1213
18130-200;SAO ROQUE;263;Base Bignotto;SP;54.334.743/0001-27;ORGANIZACAO CONSLAC LTDA;20;GRUPO CONSLAC;ORGANIZACAO CONSLAC LTDA;011 4712-2710;financeiro@conslac.com.br;IUB;653.062.948.110;459;RUA SOTERO DE SOUZA;CENTRO;3550605;011 94100-3067
34000-000;NOVA LIMA;116;Base Bignotto;MG;02.954.241/0001-03;SERVICO FUNERARIO DE NOVA LIMA LTDA;20;FUN NOVA LIMA;SERVICO FUNERARIO DE NOVA LIMA LTDA;031 3541-1599;patioliveiranl@hotmail.com;IUB;4482923350075;467;RUA R DOUTOR ANIBAL DE MORAES QUINTAO;CENTRO;3144805;
38390-000;CENTRALINA;127;Base Bignotto;MG;03.465.078/0001-70;MARIA FERREIRA DA SILVA - CPF 4475112567;20;PAX SERVICOS SOCIAIS;MARIA FERREIRA DA SILVA - CPF 44751125672;034 3267-2607;odenirfrancisco64@hotmail.com;IUB;1580486080046;473;RUA DOS MARQUES;CENTRO;3115805;034 3267-1196
38700-368;PATOS DE MINAS;798;Base Bignotto;MG;02.487.174/0001-56;FUNERARIA E VELORIO PRINCIPE DA PAZ LTDA;20;FUNERARIA PRINCIPE D;FUNERARIA E VELORIO PRINCIPE DA PAZ LTDA;034 3821-4945;grupospedro@terra.com.br;IUB;ISENTO;476;RUA OURO PRETO;CENTRO;3148004;034 3821-9190
13510-000;SANTA GERTRUDES;1;Base Bignotto;SP;03.197.227/0001-67;W A EMPRESA FUNERARIA LTDA - ME;20;FUNERARIA SANTA GERT;W A EMPRESA FUNERARIA LTDA - ME;019 3545-5254;adriana_cerri@hotmail.com;IUB;615.070.041.111;478;RUA;CENTRO;3546702;019 3982-2348
25680-003;PETROPOLIS;327;Base Bignotto;RJ;30.649.867/0001-33;FUNERARIA CASA MUSSEL LTDA.;20;;FUNERARIA CASA MUSSEL LTDA.;024 3243-0483;ruyligeirojr@yahoo.com.br;IUB;ISENTO;484;RUA PAULINO AFONSO;CENTRO;3303906;
14850-000;PRADOPOLIS;86;Base Bignotto;SP;03.530.477/0001-77;ORGANIZACAO SOCIAL DE LUTO PRADOPOLIS LT;20;;ORGANIZACAO SOCIAL DE LUTO PRADOPOLIS LTDA;16 3981-1260;funerariapradopolis@gmail.com;IUB;557.006.146.115;486;RUA PRESIDENTE VARGAS;CENTRO;3540903;
18150-000;IBIUNA;100;Base Bignotto;SP;03.050.049/0001-47;ORGANIZACAO LEMES FUNERARIA DE IBIUNA LT;20;;ORGANIZACAO LEMES FUNERARIA DE IBIUNA LTDA;015 3248-3133;funerarialemesibiuna@gmail.com;IUB;345.080.966.112;490;R JOAO CARLOS MARCONDES;CENTRO;3519709;
38200-000;FRUTAL;200;Base Bignotto;MG;41.730.722/0001-89;SOCIEDADE MUTUARIA FRUTALENSE LTDA;20;SOCIEDADE MUTUARIA;SOCIEDADE MUTUARIA FRUTALENSE LTDA;034 3421-3154;tuka.somuf@gmail.com;IUB;ISENTO;491;PRACA NOSSA SENHORA DA ABADIA;CENTRO;3127107;
28800-000;RIO BONITO;101;Base Bignotto;RJ;03.381.224/0001-89;FUNERARIA JARDIM DAS ACACIAS LTDA;20;;FUNERARIA JARDIM DAS ACACIAS LTDA;021 2734-9107;lutiane@hotmail.com;IUB;ISENTO;496;RODOVIA BR;RIO DOS INDIOS;3304300;021 984867032
20730-000;RIO DE JANEIRO;311;Base Bignotto;RJ;01.497.392/0001-09;FUNERARIA SAO VITO LTDA;20;;FUNERARIA SAO VITO LTDA;021 2596-0398;fsvito@terra.com.br;IUB;ISENTO;502;RUA ADOLFO BERGAMINI;ENGENHO DE DENTRO;3304557;021 3899-8535
21230-000;RIO DE JANEIRO;243;Base Bignotto;RJ;33.737.974/0001-01;CAPELA SANTO CRISTO LTDA;20;;CAPELA SANTO CRISTO LTDA;021 3371-1067;empresas@stocristo.com.br;IUB;ISENTO;503;PRACA NOSSA SRA DA APRESENTACAO;IRAJA;3304557;021 97013-6366
20760-246;RIO DE JANEIRO;2565;Base Bignotto;RJ;33.908.591/0001-59;FUNERARIA CENTRAL SANTA CASA 24H LTDA;20;;FUNERARIA CENTRAL SANTA CASA 24H LTDA;021 99697-5422;financeiro@santacasacard.com.br;IUB;ISENTO;504;RUA JOSE DOS REIS;INHAUMA;3304557;
21715-410;RIO DE JANEIRO;635;Base Bignotto;RJ;01.093.326/0001-73;AGENCIA FUNERARIA MURUNDU LTDA;20;VELORIUM ASSISTENCIA;AGENCIA FUNERARIA MURUNDU LTDA;021 96472-4825;jorgedamiao@ig.com.br;IUB;ISENTO;518;RUA FRANCISCO REAL;PADRE MIGUEL;3304557;
20550-013;RIO DE JANEIRO;418;Base Bignotto;RJ;31.671.878/0001-82;SERVICOS FUNERARIOS SAO SEBASTIAO LTDA;20;AGENCIA SANTA CASA S;SERVICOS FUNERARIOS SAO SEBASTIAO LTDA;021 2284-6686;ag.funerariasantacasa@uol.com.br;IUB;ISENTO;519;RUA SAO FRANCISCO XAVIER;MARACANA;3304557;
35540-000;OLIVEIRA;218;Base Bignotto;MG;07.143.236/0001-26;NATHALIA & JAIRO SERVICOS FUNERARIOS LTD;20;LUIS E JAIRO;NATHALIA & JAIRO SERVICOS FUNERARIOS LTDA;037 3331-2632;luizejairo@hotmail.com;IUB;ISENTO;528;PRACA DONA MANOELITA CHAGAS;CENTRO;3145604;
75800-017;JATAI;830;Base Bignotto;GO;74.184.524/0001-16;SOCIAL DE LUTO ALFAIX LTDA;20;FUNERARIA ALFAIX;SOCIAL DE LUTO ALFAIX LTDA;064 3631-2746;carlosalbertoalfaix@hotmail.com;IUB;10.262.068-7;529;AVENIDA DEP COSTA LIMA;CENTRO;5211909;
29146-330;CARIACICA;337;Base Bignotto;ES;39.823.927/0001-67;FUNERARIA CRUZ ETERNA SERV POSTUMOS LTDA;20;CRUZ ETERNA;FUNERARIA CRUZ ETERNA SERV POSTUMOS LTDA ME;027 3336-6379;sap@bignotto.com.br;IUB;ISENTO;539;RUA RUA BOLIVAR DE ABREU;CAMPO GRANDE;3201308;
21870-011;RIO DE JANEIRO;1054;Base Bignotto;RJ;00.499.660/0001-69;FUNERARIA ESTRELA DA MANHA LTDA;20;INTERNACIONAL PAX;FUNERARIA ESTRELA DA MANHA LTDA;021 2401-9126;fun_estreladamanha@ig.com.br;IUB;ISENTO;543;RUA SUL AMERICA;BANGU;3304557;
12260-000;PARAIBUNA;174;Base Bignotto;SP;03.037.420/0001-30;E G MENDONCA FUNERARIA;20;FUNERARIA PARAIBUNA;E G MENDONCA FUNERARIA;012 3974-0174;funernovavida@yahoo.com.br;IUB;504.066.491-113;544;RUA MAJOR SOARES;CENTRO;3535606;012 3974-1055
32800-076;ESMERALDAS;308;Base Bignotto;MG;04.329.424/0001-55;HOLMES ANTONIO DINIZ CAMARGOS;20;FUNERARIA SANTA QUIT;HOLMES ANTONIO DINIZ CAMARGOS;031 3538-1844;rodriguescont@eolnet.com.br;IUB;2411189050088;564;RUA DOS EXPEDICIONARIOS;CENTRO;3124104;
38200-000;FRUTAL;136;Base Bignotto;MG;03.587.621/0001-01;LATURF LTDA;20;LATURF;LATURF LTDA;034 3421-9610;rosamisticacompra@gmail.com;IUB;271.061.700.00.36;567;AVENIDA EUVALDO LODI;CENTRO;3127107;
22735-015;RIO DE JANEIRO;18;Base Bignotto;RJ;01.552.266/0001-00;MARANATA SERVICOS FUNERARIOS LTDA;20;MARANATA;MARANATA SERVICOS FUNERARIOS LTDA;021 2402-6376;ffunerariamaranata@gmail.com;IUB;ISENTO;573;AV GEREMARIO DANTAS;TANQUE;3304557;
35501-638;DIVINOPOLIS;200;Base Bignotto;MG;04.371.612/0001-41;FUNERARIA DIVINOPOLIS LTDA;20;FUN DIVINOPOLIS;FUNERARIA DIVINOPOLIS LTDA;037 3212-7575;clebergontijo2011@hotmail.com;IUB;2231311820095;575;RODOVIA DOS BATISTAS;PQ JARDIM CAPITAO S.;3122306;37 9855-9609
36555-000;ERVALIA;531;Base Bignotto;MG;04.471.763/0001-71;PLANO SOCIAL FAMILIAR DE ERVALIA LTDA;20;PAX ERVALIA;PLANO SOCIAL FAMILIAR DE ERVALIA LTDA;032 3554-1856;marcospax@ig.com.br;IUB;ISENTO;577;RUA JOSE PAULINO REZENDE;CENTRO;3124005;032 98402-5062
35900-065;ITABIRA;195;Base Bignotto;MG;42.991.703/0001-79;MONJOLOS EMPRESA FUNERARIA LTDA;20;FUN SANTA TEREZINHA;MONJOLOS EMPRESA FUNERARIA LTDA;031 3831-6785;plano.santaterezinha@hotmail.com;IUB;3178252230091;578;RUA RUA SANTA MARIA;PENHA;3131703;31 8611-4963
18540-073;PORTO FELIZ;192;Base Bignotto;SP;03.704.271/0001-16;EMPRESA FUNERARIA NOVA PORTO FELIZ LTDA;20;FUNERARIA NOVA PORTO;EMPRESA FUNERARIA NOVA PORTO FELIZ LTDA;(11) 4013-9191;sistema.cont@uol.com.br;IUB;ISENTO;581;RUA DOUTOR ADHEMAR DE BARROS;CENTRO;3540606;
36750-000;PALMA;340;Base Bignotto;MG;04.638.668/0001-10;CARVALHO & BRITO DE PALMA LTDA;20;FUNERARIA SAO FRANCI;CARVALHO & BRITO DE PALMA LTDA;032 3449-7542;escritoriopadilha@hotmail.com;IUB;4671432160069;582;RUA FRANCISCO SALES LOJA A;CENTRO;3146701;
13140-284;PAULINIA;429;Base Bignotto;SP;04.688.626/0001-93;BILATTO E SCHERRES ORGANIZACAO DE LUTO L;20;BOM PASTOR;BILATTO E SCHERRES ORGANIZACAO DE LUTO LTDA;019 3933-1154;elencjprado@gmail.com;IUB;513.049.851.114;583;RUA SALVADOR LOMBARDI NETTO;NOVA PAULINIA;3536505;019 99571-6682
13450-043;SANTA BARBARA D OESTE;65;Base Bignotto;SP;02.219.383/0001-19;BOM PASTOR DE SANTA BARBARA ORGANIZACAO;20;;BOM PASTOR DE SANTA BARBARA ORGANIZACAO DE LUTO LTDA;019 3461-2519;bompastoram@gmail.com;IUB;606.081.550.110;586;RUA R QUINZE DE NOVEMBRO;CENTRO;3545803;019 99125-5890
36160-000;GUARANI;81;Base Bignotto;MG;04.871.683/0001-03;FUNERARIA SAO GERALDO LTDA;20;FUNERARIA S GERALDO;FUNERARIA SAO GERALDO LTDA;032 99973-6012;cr.juliocesarlima@gmail.com;IUB;284.162.016.00-72;592;RUA JOSE LADEIRA PINTO;SOSSEGO;3128402;
29308-080;CACHOEIRO DE ITAPEMIRIM;10;Base Bignotto;ES;04.300.082/0001-40;ASSISTENCIAL CACHOEIRO CEMITERIO PARQUE;20;;ASSISTENCIAL CACHOEIRO CEMITERIO PARQUE LTDA;028 3522-7933;financeira@seuplanodevida.com.br;IUB;082080348;594;RUA MANOEL BRAGA MACHADO;BAIRRO FERROVIARIOS;3201209;
72815-450;LUZIANIA;;Base Bignotto;GO;04.859.536/0001-18;SERLLUZ - SERVICO POSTUMO DE LUZIANIA LT;20;SERLLUZ FUNERARIA;SERLLUZ - SERVICO POSTUMO DE LUZIANIA LTDA;061 3601-1276;gabriela@serlluz.com.br;IUB;ISENTO;598;AVENIDA DONA SARA KUBITSCHEK, S/N;PARQUE JK;5212501;061 9873-5083
18730-000;ITAI;1276;Base Bignotto;SP;05.009.991/0001-97;EDNEI ANTONIO LEME ITAI;20;FUNERARIA DOIS IRMAO;EDNEI ANTONIO LEME ITAI;014 3761-1785;fundoisirmaos02@hotmail.com;IUB;366.070.941.110;600;RUA JOSE SILVEIRA MELO;CENTRO;3521804;014 3761-1571
37480-000;LAMBARI;256;Base Bignotto;MG;04.963.645/0001-80;FUNERARIA CENTRAL PLANO FAMILIAR S.O.S.;20;FUNERARIA CENTRAL;FUNERARIA CENTRAL PLANO FAMILIAR S.O.S. VIDA LTDA;035 3271-4835;funeraria.central2012@hotmail.com;IUB;378.169.311.00-23;603;PRACA NOSSA SENHORA DA SAUDE;CENTRO;3137809;
